% Model,AdvancedModel.mph
% Version,COMSOL 5.5.0.359
% Date,"Sep 8 2024, 18:57"
% Dimension,3
% Nodes,1158
% Expressions,2
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0,Tcell (kg/m^3) @ t=0.2
0,0,4.29E-4,399.99999999999994,399.2603122129195
3.14E-4,0,3.14E-4,399.99999999999994,399.2795371368123
0,0,0,399.99999999999994,399.2846502487506
0,3.14E-4,3.14E-4,399.99999999999994,399.28358551749056
0,3.57E-4,6.39E-4,400,399.2869202387858
3.57E-4,0,6.39E-4,400,399.2942190352192
0,0,8.57E-4,399.99999999999994,399.2719672047835
3.14E-4,3.14E-4,0,399.99999999999994,399.2838417435633
0,4.29E-4,0,399.99999999999994,399.2563651815672
4.29E-4,0,0,399.99999999999994,399.25606413346503
6.45E-4,0,3.63E-4,399.99999999999994,399.2883274899445
6.45E-4,3.63E-4,0,399.9999999999999,399.29434899106167
8.57E-4,0,0,399.99999999999994,399.263669349338
3.57E-4,6.39E-4,0,400,399.2881261601617
0,6.45E-4,3.63E-4,400,399.2930032661271
0,8.57E-4,0,399.99999999999994,399.26799987277934
0.001061,0,3.76E-4,399.9999999999999,399.27649648001056
0.001061,3.76E-4,0,399.9999999999999,399.2822686766341
0.001286,0,0,399.99999999999994,399.30520508354533
3.84E-4,0.001034,0,399.9999999999999,399.2774817183256
0,0.001061,3.76E-4,399.9999999999999,399.27671162562723
0,0.001286,0,399.99999999999994,399.2970065768845
0,3.84E-4,0.001034,399.9999999999999,399.2798598010123
3.84E-4,0,0.001034,399.9999999999999,399.26906593454754
0,0,0.001286,399.99999999999994,399.3016192383403
0.0015,0,3.71E-4,399.9999999999999,399.2697332467661
0.0015,3.71E-4,0,400,399.267294837541
0.001714,0,0,399.9999999999999,399.25853530014336
6.01E-4,6.06E-4,6.06E-4,399.9999999999999,399.2647195671499
7.92E-4,0,7.79E-4,399.99999999999994,399.29433574202943
0,7.92E-4,7.79E-4,399.99999999999994,399.2934985038842
7.92E-4,7.79E-4,0,399.99999999999994,399.2894154706795
0,0.0015,3.71E-4,400,399.26834636201096
4.37E-4,0.001489,0,399.99999999999994,399.2812623871941
0,0.001714,0,399.9999999999999,399.2497943032031
0,0.002143,0,399.99999999999994,399.31067577489415
0,0.001928,3.64E-4,399.9999999999999,399.31479689204656
3.71E-4,0.001929,0,400,399.3000752013908
3.36E-4,0.002354,0,400,399.2621676029637
0,0.002356,3.27E-4,400,399.2498732597653
0,0.002571,0,399.99999999999994,399.29234307796963
0.001269,6.5E-4,6.5E-4,399.99999999999994,399.2922704126945
0.001286,0,7.42E-4,399.9999999999999,399.24835204672667
0.001286,7.42E-4,0,399.9999999999999,399.2472155678387
7.14E-4,0.001182,0,399.99999999999994,399.24996811252805
5.67E-4,0.001214,5.71E-4,399.99999999999994,399.293018683928
0,0.001286,7.42E-4,399.9999999999999,399.24110492413365
7.53E-4,8.97E-4,9.04E-4,400,399.2790041811082
0,7.14E-4,0.001182,399.99999999999994,399.2719940848394
0,4.37E-4,0.001489,399.99999999999994,399.2677444289266
4.37E-4,0,0.001489,399.99999999999994,399.27108211943136
0,0,0.001714,399.9999999999999,399.2739014025967
7.14E-4,0,0.001182,399.99999999999994,399.26066000732294
5.91E-4,5.57E-4,0.001235,399.99999999999994,399.3017253616249
4.62E-4,0.001707,4.97E-4,399.99999999999994,399.29515040168997
0,0.001712,7.4E-4,399.99999999999994,399.3223931690139
8.73E-4,0.001487,0,399.99999999999994,399.27810682343545
0,0.002162,7.46E-4,399.99999999999994,399.22935514338974
0.002143,0,0,399.99999999999994,399.3160450814422
0.002356,3.27E-4,0,400,399.21011423937153
0.001928,3.64E-4,0,399.9999999999999,399.3198925021273
0.002356,0,3.27E-4,400,399.27959099856787
0.002571,0,0,399.99999999999994,399.3390104197427
0.001928,0,3.64E-4,400,399.2840796721013
0.001716,4.61E-4,4.61E-4,399.99999999999994,399.2930601535837
0.001712,0,7.4E-4,399.99999999999994,399.3434771322504
0.001712,7.4E-4,0,399.99999999999994,399.3484736306279
0.002162,0,7.46E-4,399.99999999999994,399.2311407060924
0.002162,7.46E-4,0,399.99999999999994,399.22027065999976
0.001174,5.34E-4,0.001173,399.9999999999999,399.2672408238413
0.001084,0,0.00112,399.99999999999994,399.2338642419249
