% Model,AdvancedModel.mph
% Version,COMSOL 5.5.0.359
% Date,"May 26 2024, 19:00"
% Dimension,3
% Nodes,733
% Expressions,3
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0,Tcell (kg/m^3) @ t=0.01,Tcell (kg/m^3) @ t=0.02
1.353043517812578E-4,1.361828524870521E-4,0,399.99999984005495,399.95966229533354,399.91990387813644
1.1716622075104861E-4,1.0565182064849082E-4,1.348677041706564E-4,399.9999998395648,399.9591689517473,399.9203677176725
0,0,0,399.99999984057047,399.96101953283915,399.92006661366656
2.1900038980115455E-4,0,0,399.9999998396562,399.95954448713877,399.91981148355165
0,1.3861171886460458E-4,1.3916836579865111E-4,399.9999998400403,399.95994088128447,399.9195789769353
0,2.1934220056640187E-4,0,399.99999984019314,399.9587102978937,399.9190364436522
0,0,2.1934220057002825E-4,399.99999983936334,399.95976174968524,399.9209116687183
0,9.742431930159715E-5,2.8517578152204655E-4,399.99999984209467,399.96122316811653,399.9217033094975
1.528683157108874E-4,0,1.4701485223530625E-4,399.9999998391182,399.95943274578985,399.9198818565636
2.4080517876401194E-4,9.050883933428329E-5,8.202511044676205E-5,399.9999998386621,399.9622640343603,399.9255336618516
2.922069783484509E-4,0,9.936336469947998E-5,399.9999998386348,399.96284743837026,399.92528401042165
2.765087768924824E-4,1.1311873726186608E-4,0,399.999999844491,399.96018135876074,399.9194023549602
3.8083730154657013E-4,0,0,399.99999984993434,399.95790619718605,399.9131362075629
1.354487978190836E-4,8.267833818231747E-5,2.2929995797445356E-4,399.99999983650525,399.96413981022624,399.9287078280281
1.2770741028711818E-4,0,2.901239939221245E-4,399.99999984375916,399.95942741637305,399.9176105328949
2.628455614024636E-4,1.0838640778172392E-4,1.667135900658674E-4,399.99999984697973,399.95918207115034,399.9159864960561
2.3148248595608728E-4,1.9437433550067816E-4,8.562800969642959E-5,399.99999984086986,399.96230550252386,399.9232474367264
2.0559246056149733E-4,2.428532690731909E-4,0,399.9999998440215,399.9591682864955,399.91757228684776
8.528216990653937E-5,2.11510334390721E-4,1.2063117891491267E-4,399.9999998368677,399.9615785069987,399.9251312370931
9.733443047968296E-5,2.848375297258295E-4,0,399.9999998406389,399.96186393500477,399.92347256932095
1.688900735718257E-4,2.9341559916916724E-4,1.159580657210355E-4,399.9999998461927,399.95971391333507,399.91683197900727
1.1802927992267729E-4,1.65356676367106E-4,3.1158506371168574E-4,399.9999998507276,399.9567273748503,399.9106283793509
0,2.095200751141968E-4,2.3856174600727747E-4,399.9999998449588,399.96041288319736,399.919087736458
0,2.7765401431480103E-4,1.1320266182178625E-4,399.99999984000516,399.9625105073918,399.92446477349796
0,3.81050655451175E-4,0,399.99999984786257,399.95893139285766,399.9151737677811
7.864133107804773E-5,3.447512279365528E-4,1.1442890123443082E-4,399.9999998513395,399.95629525216407,399.90883355747167
0,0,3.810506554467683E-4,399.9999998505708,399.9589440871045,399.9147080970393
2.093392666235082E-4,7.132401426309224E-5,3.325958759622041E-4,399.99999984683296,399.9586024539532,399.91532118700883
1.8261997340315506E-4,0,3.919284083694904E-4,399.99999981542345,399.9570972583131,399.9190952156317
1.025502502958746E-4,8.267833818353853E-5,3.664106921552285E-4,399.9999998358432,399.95662073490695,399.9134116956478
0,1.0763573787844718E-4,3.909817131326998E-4,399.99999982206293,399.9562816120832,399.91586430057515
8.70712206642947E-5,0,4.212363206067271E-4,399.99999980500127,399.9565677459413,399.9189831453691
0,5.5084458733498666E-5,4.38165942782052E-4,399.99999980122914,399.95816994222116,399.92300122586335
0,1.880653242003824E-4,3.499067838545995E-4,399.999999827171,399.956751336702,399.91545463816993
9.782608146460875E-5,1.5794561397831455E-4,3.9101266114156884E-4,399.9999998094179,399.95798160447634,399.9210648679266
2.5673083938965E-4,0,3.3983839356684537E-4,399.9999998141015,399.95827183483044,399.9216231316923
2.778227828636136E-4,0,2.4275127341783463E-4,399.99999984508355,399.95711347166264,399.9122245827135
3.0706316131529543E-4,2.521468339003273E-4,0,399.99999984584804,399.95539458113774,399.9097251210085
1.90388456852885E-4,3.5234138447941244E-4,0,399.9999998262583,399.9564195623003,399.9144686618558
2.4841091201595805E-4,3.159214843319066E-4,1.0785687959667858E-4,399.99999983299386,399.95658507570965,399.9146689507152
2.6386069638475513E-4,3.231925051453214E-4,0,399.99999980634874,399.9575713770465,399.92021719599956
1.0862268414616042E-4,3.9059365858339236E-4,0,399.9999998239827,399.95753081544206,399.91717870459627
0,3.9074722250016406E-4,1.1056390986291637E-4,399.9999998256508,399.95789736395557,399.91774889994014
1.5341050467097074E-4,3.817113540033408E-4,9.032818011029185E-5,399.99999981807133,399.95706543364696,399.91756635107475
7.360045268669507E-5,4.1465571675111326E-4,8.61962232058651E-5,399.99999981023393,399.956079305844,399.917516156349
0,4.4123125868966305E-4,5.422779394787648E-5,399.9999998119991,399.95939704182763,399.92532402569145
5.526731443656023E-5,4.385073645310037E-4,0,399.9999998125452,399.9580620174151,399.9231646712326
3.060482276466803E-4,2.7509169635672834E-4,7.472941818605356E-5,399.99999982893934,399.95698139005833,399.91584545452287
3.4781768589031204E-4,2.395096485389323E-4,5.182521580087622E-5,399.9999998059994,399.9570362396261,399.9179668036042
3.5482126020200015E-4,8.120861466831698E-5,1.0005283551162752E-4,399.99999984671183,399.9578670477935,399.91352655057557
3.921153263246803E-4,0,1.0660831067569788E-4,399.999999813399,399.95696779084136,399.9184588900854
3.90447425947203E-4,1.1091950225951755E-4,0,399.99999982911777,399.9585511591836,399.9172869449746
3.7575140033723766E-4,1.8469880346607244E-4,0,399.99999980486416,399.9558787540059,399.91799018382375
3.6853264492977064E-4,0,1.8014929568396925E-4,399.99999981677996,399.95636433660064,399.91594945364346
3.480467663053444E-4,1.7558928174234154E-4,1.0057464920417518E-4,399.99999983281145,399.95609864092813,399.9133840089156
4.384627888825285E-4,0,5.5296770267638606E-5,399.9999998014604,399.9578980512238,399.92437675397844
4.248190347837782E-4,8.880876910094319E-5,7.293529211801053E-5,399.9999998125434,399.9564291503864,399.9180291211353
4.412031270947697E-4,5.4305970871235324E-5,0,399.99999981320593,399.9586848303922,399.92362309715685
5.000000000684042E-4,0,0,199.99999997456487,199.99287084050246,199.98491263453252
4.902583174761849E-4,0,9.82151064789972E-5,199.9999999724494,199.99161622899462,199.98181749032852
4.915686116201134E-4,6.724307289322976E-5,6.195699545548368E-5,179.9999999866254,179.9962373047571,179.99197810936397
4.902583174778186E-4,9.821510647390121E-5,0,199.9999999675661,199.9930027629063,199.9866898460718
0,5.00000000068505E-4,0,199.99999997920148,199.99368277017726,199.9864320952272
9.803753173132027E-5,4.902860337607785E-4,0,239.9999999500754,239.9879310259553,239.97640681027403
3.351288170409359E-4,7.418948041400592E-5,2.573706472877898E-4,399.9999998029214,399.9563219389094,399.91874213464644
2.707768332643163E-4,1.1772801073778049E-4,3.2902411985891855E-4,399.99999981815694,399.9572880451118,399.91940312882724
2.3103725945994438E-4,8.778542066594233E-5,4.346441127238328E-4,279.9999999261123,279.9825713045205,279.96614773779015
1.9168337583779454E-4,0,4.6179727161755783E-4,159.99999998936565,159.99673216241774,159.9925167623556
2.7792135993232655E-4,0,4.1564332512643233E-4,159.99999999053273,159.99740364845843,159.99428744603804
1.0493262497200472E-4,3.0357755119192915E-4,1.93889824729917E-4,399.99999984461977,399.95837227024583,399.9152038745798
0,3.07012547977773E-4,2.5270655269451467E-4,399.9999998453546,399.9545397550079,399.90788834621935
1.0340686801414669E-4,2.358042070803105E-4,3.4835887985122974E-4,399.99999982125115,399.9572688090021,399.9177127915495
